value,count
"Beere, Daniel Manders, 1833-1909 :Negatives of New Zealand and Australia",825
Radio Active 89FM: Recordings,809
Bernard Sladden Photographic Collection,796
Museum of New Zealand Te Papa Tongarewa YouTube,795
The Hutt City Libraries Online Heritage Collection,794
Sounds Historical,790
Motu Economic and Public Policy Research,784
EDtalks,778
95bFM YouTube,764
"Shotter, P J E :Negatives and albums (with index) of graves in the Bolton Street and Sydney Street cemeteries, Wellington",763
"Slane, Christopher, 1957-: Digital cartoons published in the Listener, New Zealand Herald, or New Zealand Farmers' Weekly",761
Landfall Review Online,758
Auckland War Memorial Museum Tāmaki Paenga Hira Flickr,756
TheProw.org.nz,754
Fletcher Collection,752
Sclanders Collection,725
New Zealand Taxation,723
Wairarapa Library Service Kete,723
"Head, Samuel Heath, 1868-1948 :Negatives",722
The House,719
"Knox Church, Dunedin",712
New Hebrides Mission,709
Rigby Allan Collection,701
Commercial negatives taken in 1977,699
Lee Switzer Photographic Collection,699
Commercial negatives taken in 1974,696
Parliament - Question Time,696
Negative film strips,695
Photographs collected during the 2013 Mount Maunganui Primary School Centenary,682
Tourism New Zealand YouTube,680
"Moore, Robert Percy, 1881-1948 :Panoramic photographs of New Zealand",677
Lewers Collection,668
Archive of Māori and Pacific Music,662
Commercial negatives taken in 1967,662
"Murdoch, Sharon Gay, 1960-: Digital cartoons published in The Press, Sunday Star Times, Dominion Post, and other publications",661
Negatives labelled K,656
NABIS,652
Winding up/Liquidations,649
Auckland War Memorial Museum Tāmaki Paenga Hira YouTube,648
Published,644
"West, Harold Martin, 1920?-1987 :Shipping postcards and negatives",643
Canterbury Botanical Society,642
Negatives of ships calling at the port of Napier,629
Public Address Radio,620
Digital cartoons published in Sunday News,619
Punjab Mission 1909 - 1952,614
"Nicol, Robina, 1861-1942: Photographs",603
Kete Waimakariri,599
Marsden Online Archive,599
Delegated Legislation,597
S P Andrew Ltd :Portrait negatives,595
Akersten Collection,591
NZ Tech Podcast,591
Kete Kawerau,589
"Hodgson, Trace, 1958- :Digital cartoons",588
Wellington Botanical Society,587
Pacific Waves,574
Number 81 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,572
Number 82 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,572
Number 92 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,572
Algae,569
The Detail,569
Spectrum,566
"Fieldwork, Historical",559
Department of Communication,555
Kete Taupo,551
"Clark, Laurence, 1949- :Digital cartoons",548
PLoS ONE,542
"Wells, Robert E, 1905-2006 :Photographic negatives, prints and transparencies  of the Mokau and other rural North Island districts, and scenic views of New Zealand",539
95bFM Breakfast with Rachel,536
Pacific Manuscripts Bureau: Digitised records from the Pacific Area,536
Screentalk,536
The Treasury,535
Davis & Nairn Collection,525
Negatives labelled P,522
"Owen, Dylan, 1958-: Photographs",515
Records of the Office of the Secretary of Defense,513
The Week In Review,509
Extra Time,505
Presbyterian Harrier Club - Wellington,504
Maori Mission Committee,503
Commercial negatives taken in 1975,500
National Gallery of Australia,500
Number 86 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,499
Invertebrate Zoology,498
Series 1 Inward letters (English),495
Tymar Lighting: Photographs of predominantly New Zealand bands and musicians,495
"Buist, Grant, 1973- : [Jitterati digital cartoons published in The Capital Times newspaper]",491
Collection of Francis Drouet,488
Number 83 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,488
Vice Regal,488
Number 100 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,485
Haast family: Collection,483
MuseumArchives,482
Manson Collection,479
"Royal New Zealand Returned and Services' Association New Zealand official negatives, World War 1914-1918: UK Series negatives",479
The Wireless YouTube,479
Marsden Loan Collection,478
Records of the Foreign Agricultural Service,478
Anthropology,475
Number 80 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,475
"Hay-MacKenzie, William Ewan, 1916-1996 :Photographs",472
Waiapu Church Times,471
"Brockie, Robert Ellison, 1932- :Digital caricatures and cartoons",470
Number 85 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,467
"Tesla Studios :Negatives of Wanganui and district taken by Alfred Martin, Frank Denton and Mark Lampe (Tesla Studios)",467
In Parliament,463
Stout family: Photographs,463
"Celebrating 150 years of Libraries in Tauranga, 2021 (Penelope Coleman)",462
Rodney Giddens Tauranga CBD and Mount Maunganui Collection,461
6th Battalion (Hauraki) Regiment Photograph Collection,458
"Henderson, Jeff, 1973-: Live recordings from The Space and Happy",457
Hargreaves Collection,456
Number 88 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,456
Focus on Politics,450
Number 90 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,450
Making New Zealand :Negatives and prints from the Making New Zealand Centennial collection,448
Shared Repository,446
Five O'clock Report,445
Negatives labelled Q,442
Number 94 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,438
Monument Australia,436
Number 89 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,436
The Weekend,436
Duffill architectural plans,435
Kete Central Hawke's Bay,429
"Waverley Parish, Invercargill",426
Flying Nun Records Ltd: Records,424
Summer Times,424
Victoria and Albert Museum,421
Digital cartoons published in New Zealand Doctor,417
Kete Tararua,417
Number 84 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,416
"Nathan, Simon, 1943-: Photographs of the Kermadec Islands, Antarctica, Inangahua, Mount Ngauruhoe, and various New Zealand locations",413
HealthEd Health Resources,410
David Rumsey Map Collection,407
"McDonnell, Alexander Francis, 1866-1938 : Papers",406
Negatives labelled M,404
Number 95 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,400
1959 - Gifford-Cross Photographic Collection,398
National Museum of Australia,397
Number 91 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,395
Birds,390
New Zealand Geographic Board: Selection of maps of New Zealand,389
Selwyn family : Papers,388
The Elms Foundation Image Collection,386
Caleb Wyatt,382
Robert Patterson,381
Negatives labelled C,379
Tagata o te Moana,379
"Andersons Bay Parish, Dunedin",377
Number 93 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,377
Portraits of scientists,377
"Ramsden, Eric :Photographs relating to Ramsden and his family and Maori subjects",375
"Graves in the Bolton Street cemetery, Wellington",374
Kete Masterton,374
Wilkes Exploring Expedition,374
Anderson & Bremford Photographic Collection,370
The Reading,369
Number 87 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,367
Vertebrate Zoology,367
"Bromhead, Peter, 1933- :Digital cartoons",358
"Darroch, Bob 1940- :[Digital cartoons published in the Whangarei Report]",356
land mammals,354
Mark H. McCormack Papers,353
"First Church, Dunedin",351
"Body, Guy Keverne, 1967-: [Digital cartoons published in New Zealand Herald]",350
One In Five,350
Tyree Studio: Negatives of Nelson and Marlborough districts,350
State Library of Western Australia,349
Aviation Personalities,339
"McAllister, James, 1869-1952 :Negatives of Stratford and Taranaki district",339
Ngā Pae o te Māramatanga Media Centre,338
World War I Oral History Archive,338
Christchurch City Library,336
"Locke, Keith, 1944- :Collection",336
Bartel Collection,334
The World in Sport,334
Kapunga Te Matemoana (Koro) Dewes collection of sound recordings,328
Negatives labelled N,328
First Up Podcast,326
"Jones, Frederick Nelson, 1881-1962 :Negatives of the Nelson district",325
Tauranga's library over the years,324
Young Ocean Explorers,322
"De Maus, David Alexander, 1847-1925 :Shipping negatives",321
Best Of The Week,320
Te Puni Kōkiri,318
"Graves in the Sydney Street Cemetery, Wellington",317
Parliament - Live Stream and Question Time,316
Voices,316
Introducing,312
Remuera Heritage,312
Feaver,310
Nursing Education and Research Foundation - Nursing Oral Histories in NZ,308
Ovens Collection,308
The University of Melbourne,307
Insight,305
New Zealand Topographical Maps,305
Timaru Harbour Board,305
News about New Zealand,300
Inside Out,297
New Zealand Advertiser and Bay of Islands Gazette,297
"Radcliffe, Frederick George, 1863-1923 : New Zealand post card negatives",296
Cracker,295
"Lodge, Nevile Sidney  1918-1989 :[Archive of original cartoons for the Evening Post and Sports Post, 1941 to 1988]",295
Berry Collection,294
Commercial negatives taken in 1976,293
Number 98 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,293
Ara Institute of Canterbury Equella,292
Ara Institute of Canterbury Repository,292
"Caversham Parish, Dunedin",291
Open Country Sound Recordings,291
Vietnam War oral history project,291
Auckland Art Gallery Toi o Tāmaki YouTube,290
East Taieri Parish,290
Lincoln University Resources for Education,289
Number 96 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,285
Speaker,282
Viking Sevenseas NZ Ltd: Records,281
New Zealand National Airways Corporation negatives,279
"Burt, Gordon Onslow Hilbury, 1893-1968 :Negatives",275
Forest and Bird YouTube,275
"Smith, Hayden James, 1976-:[Digital cartoons published in the Otago Daily Times]",274
Guy Collection,270
Archives@Victoria,268
Number 97 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,268
Geology,267
Recordings released under Viking music label,265
Kete King Country,264
Clayton Station Collection,263
bFM Breakfast with Max & Vince,263
Negatives labelled J,262
Public Health Surveillance reports,262
Field Theory,259
NIWA YouTube,257
Navy Museum Medal Collection,256
News Extras,256
"Carnell, Samuel  1832-1920 :Maori portrait negatives",255
"Carnell, Samuel 1832-1920 :Maori portrait negatives",255
Negatives of the Mokau and other rural North Island districts,254
Number 99 - Logan Publishing Tauranga and Bay of Plenty Photo News Collection,253
Letters in Maori,249
NZMS Cadastral Maps with Aerial Survey Runs,249
Parliamentary,249
"Saunders, Lorraine E.",245
"Atkinson, Arthur Samuel, 1833-1902 : Maori letters from Taranaki",244
Photographs,242
Downie Collection,240
The Podcast Hour,240
Tradewinds,239
Random Play,238
AnyQuestions,237
Correspondence,237
"Lynch, James Robert, 1947- :[Digital scans of cartoons published in the New Plymouth Daily News and the New Zealand Times]",232
Kiwi Summer,230
"Aerial Photographs, Contact Prints for Catchment Board District",224
Christchurch uncovered,224
New Horizons,223
New Plymouth Harbour Board,223
New Zealand Nursing Education and Research Foundation oral history project,223
Roadside Stories,222
"Dickie, John, 1869-1942 :Collection of postcards, prints and negatives",221
OnPoint,221
Sovereign Hill Gold Museum. Sovereign Hill Gold Museum Library,221
reptiles and amphibians,221
Summer Nights,220
Auckland Star :Negatives,219
Negatives labelled D,219
1901 Session I,218
"Aerial Photographs, Prints of Catchment Board District [2nd Sequence]",217
"St. Enoch Church, Tauranga",217
1900 Session I,215
Appointment/Release of Administrators,214
North Invercargill Parish,213
1891 Session II,212
NZPCN E-Newsletters,212
Sunday Night,211
Grounding of the Rena (October 2011): documents and updates,210
Legal Beagle,209
Ranfurly family: Collection,209
1898 Session I,208
Nelson and Golden Bay Oral History Project,208
Open reel audiotapes,208
"Raine, William Hall, 1892-1955 :Negatives of New Zealand towns and scenery, and Fiji",208
DigitalNZ Blog,207
NEH Grant Project: Saving and Sharing the AGS Library's Historic Nitrate Negative Images,207
Pacific Correspondent,207
1892 Session I,206
95bFM Breakfast with Mikey Havoc,206
He Kupu,205
1893 Session I,203
Ethnology,201
"Farrell, Damer, 1943- : Photographs of the West Coast",200
MAI Journal,200
Mammals,199
Kitching Collection,196
Nigel Watts Photographic Collection,195
"Adkin, George Leslie, 1888-1964 :Photographs of New Zealand geology, geography, and the Maori history of Horowhenua",194
"Lovelock, John Edward (Jack), 1910-1949 : Papers",194
World War 1939-1945 Official negatives,194
1886 Session I,193
Australian Paralympic Committee. Images on Wikimedia Commons,193
Wanganui Collegiate School Museum NZMuseums,192
Glass plate collection,191
"Huggard, Dennis, 1928-2017 : The Dennis Huggard Jazz Archive",191
TaongaMāori,191
University of Auckland. Archive of Māori and Pacific Music: Digitised copies of oral history recordings by Judith Binney,190
Fishes,189
Mollusca,188
1899 Session I,187
Frederick G. Clapp Collection,187
Up Front,186
"Wellington City Council :Negatives of Wellington taken for the Wellington City Council, chiefly by Frank Giles Barker",186
1885 Session I,185
"Kedgley, Susan Jane, 1948- : Papers",185
Paul Cuming Collection,184
"Slane, Christopher, 1957-:[Digital cartoons published in the Listener, New Zealand Herald, or New Zealand Farmers' Weekly]",184
1895 Session I,182
Audio Foundation,182
John Houston Collection,182
Records of the Bureau of the Census,181
1872 Session I,179
Waitangi Tribunal,179
NZOHA Martinborough Project,177
New Zealand Society,177
1871 Session I,176
Brian Bridgeman Bottle Collection,176
Spiritual Outlook,176
Tauranga Memories (2011-2021) - Publications,176
Plant & Food Research YouTube,174
Powles family :Photographs,174
SCRSA Memorabilia Trust Collection,174
"Schmidt, Herman John, 1872-1959 :Portrait and landscape negatives, Auckland district",174
1881 Session I,173
1888 Session I,173
1890 Session I,173
Music 101,173
Savage Collection,173
1894 Session I,172
You Me... Now!,171
Dominion post (Newspaper): Photographic negatives and prints of the Evening Post and Dominion newspapers,170
Allison Collection,169
"St Stephen's Parish, Dunedin",169
"Gooch, Mitchell and MacDiarmid Ltd :[Architectural plans. 1906-1995].",168
Newztel News Agency Ltd : Transcripts and summaries of television and radio news,167
Type Register,167
Underwood & Underwood Glass Stereograph Collection,167
1875 Session I,166
1903 Session I,166
Āku Taumata Kōrero 1989 Book,166
1882 Session I,165
1873 Session I,164
1877 Session I,164
Albert Moore,164
Political protest,164
TVNZ OnDemand,164
1876 Session I,163
Gifford-Cross Photographs - exact year uncertain,163
"Halse, Frederick James, 1863-1936 : Collection of negatives",163
Te Awamutu TV YouTube,163
WRD Laurie World War One Photographs Flickr,163
Long Player,162
State Library of New South Wales Flickr,162
"Yeo, Shaun, 1974- :Digital cartoons",161
1897 Session II,159
Arthropoda,159
Timaru Main School Collection,159
"Taylor, Richard, 1805-1873 :Sketchbook.  1835-1860.",157
John Kendrick natural sound history library and film collection,156
"Ashton, John Hammond, 1917-2010 :Negatives",155
Nashville Babylon,155
1883 Session I,154
General Assembly Library :Parliamentary portraits,154
"Kinsey, Joseph James (Sir), 1852-1936 :Photographs relating to Antarctica and mountaineering",154
"Taylor, Richard, 1805-1873 :Sketchbook. 1835-1860.",154
The House On Demand,153
Bryophytes and Lichens,152
"Wedde, Ian Curtis, 1946- : Collection",152
1880 Session I,151
1905 Session I,151
Busytown,150
Election 2008 Audio,150
"Hill, Morris James, 1929-2002 :Negatives of Wellington, and national events and personalities",149
"Kent, Thelma Rene, 1899-1946 :Prints and negatives of New Zealand wildlife and scenery",149
Burford Collection,147
Home Missions Committee,147
National Library of New Zealand YouTube,147
Nelson Historical Society Collection,147
Summer Days with Jesse Mulligan,147
City of Sydney Archives,146
"Cabot, Charles Henry, 1890-1978: [Collection of ephemera, posters and programmes. 1900-1976]",145
"Cross, R. L.",144
"University of Michigan Museum of Zoology, Mollusks Division Collection",144
1878 Session I,143
Audio Foundation YouTube,143
Negatives,143
Series 2 Transcripts of news items,143
Travelling Tunes w/ Dr. Kirsten Zemke,143
florascales.com,142
