value,count
Ministry of Fisheries Te Tautiaki i nga tini a Tangaroa,652
Paul Spain,619
Waimakariri District Libraries,599
Kawerau District Library,589
Kete Taupo,551
The Treasury,536
New Zealand Book Council,505
Ngā Pae o te Māramatanga,501
Kete Central Hawke's Bay,429
Victoria and Albert Museum,421
Kete Tararua,417
NIWA,383
Kete Masterton,374
New Zealand Film Commission,352
Forest and Bird,321
Te Puni Kōkiri,316
Beacon Pathway Ltd,308
The New Zealand Nursing Education and Research Foundation,308
Tusk - Emergent Culture,308
Audio Foundation,304
Powerhouse Museum,300
Remuera Heritage,295
Ara Institute of Canterbury,292
Rotorua Museum of Art & History Te Whare Taonga o Te Arawa,290
Young Ocean Explorers,289
Wanganui Collegiate School Museum,283
Kete King Country,264
Institute of Environmental Science and Research Ltd (ESR),262
Wellington City Libraries,250
New Zealand Tertiary College,218
Christchurch uncovered,212
Raglan and District Museum,210
New Zealand Portrait Gallery Te Pūkenga Whakaata,209
Toitū Otago Settlers Museum,200
Torpedo Bay Navy Museum,186
Waitangi Tribunal,176
Laurie Family,163
Te Awamutu Online,163
State Library of New South Wales,159
Plant & Food Research,157
Lost Christchurch,133
Australian National Maritime Museum,126
Centre for Housing Research Aotearoa New Zealand,123
UC Department of Art History and Theory,123
Eastern Institute of Technology,107
Ministry of Tourism Te Manatū Tāpoi,105
The National Archives UK,100
Gus Fisher Gallery,96
New Zealand Journal of Forestry Science,94
Te Ipukarea Research Institute,94
Kent Palmer Art,89
Down to the Wire,85
Landcare Trust,77
Te Manawa,76
Our Wāhine,70
Energy Efficiency and Conservation Authority,68
Stardome Observatory & Planetarium,67
Freesound,65
The Phoenix Project,62
Waitangi Tribunal Unit,58
TBHP Collective Holiday Memories,50
The Dowse Art Museum,50
Te Aroha & Districts Museum,46
Whitireia Community Polytechnic,35
Wellington City Council,34
Isel House,33
Whanganui Regional Museum,33
University of Canterbury,32
Kowai Archives,23
Auckland Council Archives,21
Shantytown,21
Silky Oak Museum,20
Waitaki Museum & Archive,17
Mix & Mash 2011,16
Bronwyn Holloway-Smith,10
UCOL Universal College of Learning,9
Amuri Historical Society,8
Department of Building and Housing,6
Free Music Archive,5
Productivity Commission,5
FigShare,4
SPARC,4
Internet Archive,3
NatureWatch NZ,1
